Density:0.7, Vertices: 50, Time: 0.0020 seconds, MST Weight by list: 50
Density:0.8, Vertices: 50, Time: 0.0040 seconds, MST Weight by list: 49
Density:0.1, Vertices: 70, Time: 0.0016 seconds, MST Weight by list: 176
Density:0.2, Vertices: 70, Time: 0.0020 seconds, MST Weight by list: 96
Density:0.3, Vertices: 70, Time: 0.0030 seconds, MST Weight by list: 77
Density:0.4, Vertices: 70, Time: 0.0036 seconds, MST Weight by list: 76
Density:0.5, Vertices: 70, Time: 0.0057 seconds, MST Weight by list: 72
Density:0.6, Vertices: 70, Time: 0.0030 seconds, MST Weight by list: 69
Density:0.7, Vertices: 70, Time: 0.0040 seconds, MST Weight by list: 69
Density:0.8, Vertices: 70, Time: 0.0043 seconds, MST Weight by list: 69
Density:0.1, Vertices: 90, Time: 0.0019 seconds, MST Weight by list: 164
Density:0.2, Vertices: 90, Time: 0.0042 seconds, MST Weight by list: 108
Density:0.3, Vertices: 90, Time: 0.0040 seconds, MST Weight by list: 96
Density:0.4, Vertices: 90, Time: 0.0036 seconds, MST Weight by list: 89
Density:0.5, Vertices: 90, Time: 0.0048 seconds, MST Weight by list: 91
Density:0.6, Vertices: 90, Time: 0.0062 seconds, MST Weight by list: 90
Density:0.7, Vertices: 90, Time: 0.0067 seconds, MST Weight by list: 89
Density:0.8, Vertices: 90, Time: 0.0077 seconds, MST Weight by list: 89
Density:0.1, Vertices: 100, Time: 0.0021 seconds, MST Weight by list: 189
Density:0.2, Vertices: 100, Time: 0.0045 seconds, MST Weight by list: 122
Density:0.3, Vertices: 100, Time: 0.0033 seconds, MST Weight by list: 106
Density:0.4, Vertices: 100, Time: 0.0070 seconds, MST Weight by list: 101
Density:0.5, Vertices: 100, Time: 0.0102 seconds, MST Weight by list: 101
Density:0.6, Vertices: 100, Time: 0.0066 seconds, MST Weight by list: 100
Density:0.7, Vertices: 100, Time: 0.0127 seconds, MST Weight by list: 99
Density:0.8, Vertices: 100, Time: 0.0088 seconds, MST Weight by list: 99
Density:0.1, Vertices: 120, Time: 0.0026 seconds, MST Weight by list: 190
Density:0.2, Vertices: 120, Time: 0.0055 seconds, MST Weight by list: 130
Density:0.3, Vertices: 120, Time: 0.0045 seconds, MST Weight by list: 121
Density:0.4, Vertices: 120, Time: 0.0050 seconds, MST Weight by list: 119
Density:0.5, Vertices: 120, Time: 0.0070 seconds, MST Weight by list: 119
Density:0.6, Vertices: 120, Time: 0.0103 seconds, MST Weight by list: 119
Density:0.7, Vertices: 120, Time: 0.0085 seconds, MST Weight by list: 119
Density:0.8, Vertices: 120, Time: 0.0201 seconds, MST Weight by list: 119
Density:0.1, Vertices: 150, Time: 0.0046 seconds, MST Weight by list: 225
Density:0.2, Vertices: 150, Time: 0.0091 seconds, MST Weight by list: 158
Density:0.3, Vertices: 150, Time: 0.0127 seconds, MST Weight by list: 150
Density:0.4, Vertices: 150, Time: 0.0097 seconds, MST Weight by list: 149
Density:0.5, Vertices: 150, Time: 0.0129 seconds, MST Weight by list: 149
Density:0.6, Vertices: 150, Time: 0.0147 seconds, MST Weight by list: 149
Density:0.7, Vertices: 150, Time: 0.0186 seconds, MST Weight by list: 149
Density:0.8, Vertices: 150, Time: 0.0235 seconds, MST Weight by list: 149
Density:0.1, Vertices: 180, Time: 0.0062 seconds, MST Weight by list: 236
Density:0.2, Vertices: 180, Time: 0.0067 seconds, MST Weight by list: 184
Density:0.3, Vertices: 180, Time: 0.0120 seconds, MST Weight by list: 179
Density:0.4, Vertices: 180, Time: 0.0148 seconds, MST Weight by list: 179
Density:0.5, Vertices: 180, Time: 0.0184 seconds, MST Weight by list: 179
Density:0.6, Vertices: 180, Time: 0.0220 seconds, MST Weight by list: 179
Density:0.7, Vertices: 180, Time: 0.0243 seconds, MST Weight by list: 179
Density:0.8, Vertices: 180, Time: 0.0232 seconds, MST Weight by list: 179
Density:0.1, Vertices: 200, Time: 0.0088 seconds, MST Weight by list: 240
Density:0.2, Vertices: 200, Time: 0.0165 seconds, MST Weight by list: 204
Density:0.3, Vertices: 200, Time: 0.0149 seconds, MST Weight by list: 202
Density:0.4, Vertices: 200, Time: 0.0313 seconds, MST Weight by list: 199
Density:0.5, Vertices: 200, Time: 0.0234 seconds, MST Weight by list: 199
Density:0.6, Vertices: 200, Time: 0.0282 seconds, MST Weight by list: 199
Density:0.7, Vertices: 200, Time: 0.0322 seconds, MST Weight by list: 199
Density:0.8, Vertices: 200, Time: 0.0353 seconds, MST Weight by list: 199
Density:0.1, Vertices: 20, Time: 0.0000 seconds, MST Weight by list: 73
Density:0.2, Vertices: 20, Time: 0.0000 seconds, MST Weight by list: 70
Density:0.3, Vertices: 20, Time: 0.0010 seconds, MST Weight by list: 42
Density:0.4, Vertices: 20, Time: 0.0000 seconds, MST Weight by list: 36
Density:0.5, Vertices: 20, Time: 0.0012 seconds, MST Weight by list: 26
Density:0.6, Vertices: 20, Time: 0.0010 seconds, MST Weight by list: 32
Density:0.7, Vertices: 20, Time: 0.0010 seconds, MST Weight by list: 30
Density:0.8, Vertices: 20, Time: 0.0000 seconds, MST Weight by list: 23
Density:0.1, Vertices: 50, Time: 0.0010 seconds, MST Weight by list: 142
Density:0.2, Vertices: 50, Time: 0.0010 seconds, MST Weight by list: 82
Density:0.3, Vertices: 50, Time: 0.0000 seconds, MST Weight by list: 73
Density:0.4, Vertices: 50, Time: 0.0010 seconds, MST Weight by list: 57
Density:0.5, Vertices: 50, Time: 0.0032 seconds, MST Weight by list: 53
Density:0.6, Vertices: 50, Time: 0.0030 seconds, MST Weight by list: 50
Density:0.7, Vertices: 50, Time: 0.0035 seconds, MST Weight by list: 51
Density:0.8, Vertices: 50, Time: 0.0020 seconds, MST Weight by list: 49
Density:0.1, Vertices: 70, Time: 0.0022 seconds, MST Weight by list: 171
Density:0.2, Vertices: 70, Time: 0.0015 seconds, MST Weight by list: 92
Density:0.3, Vertices: 70, Time: 0.0041 seconds, MST Weight by list: 78
